Date,رقم القيد,              ,اسم المشروع معدل,اسم المشروع,Type,Amount,Code
9/1/2023,2432,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص ميزانيه 30-9-2023,مديريه امن اسيوط,مديريه امن اسيوط,المقاولات,22920653.28,4121
9/1/2023,2433,تسوية عملاء مقاولات الربع الثالث 2023 - تسوية مستخلص جارى 2 بعد الصرف وتسوية مستخلصات ميزانيه 30-9-2023,الوحده الصحيه قريه العزيه - اسيوط,الوحده الصحيه قريه العزيه - اسيوط,المقاولات,1101647.62,4155
9/1/2023,2434,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,الوحده الصحيه قريه الحواتكه - اسيوط,الوحده الصحيه قريه الحواتكه - اسيوط,المقاولات,1406323.81,4156
9/1/2023,2435,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,الوحده الصحيه قريه الصهريج - اسيوط,الوحده الصحيه قريه الصهريج - اسيوط,المقاولات,115904.76,4154
9/1/2023,2436,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,كوبرى مشاه فوكه,كوبرى مشاه فوكه,المقاولات,11237524.76,4168
9/1/2023,2436,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,كوبرى مشاه سيدى حنيش,كوبرى مشاه سيدى حنيش,المقاولات,11354296.19,4169
9/1/2023,2436,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,كوبرى مشاه قريه الزيات,كوبرى مشاه قريه الزيات,المقاولات,11786787.62,4170
9/1/2023,2439,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,محطه الهنادى - الأقصر,محطه الهنادى - الأقصر,المقاولات,-14995148.32,4100
9/1/2023,2440,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,ستون بارك - فيلات,ستون بارك - فيلات,المقاولات,9873993.68,4152
9/1/2023,2441,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,12765866.86,4132
9/1/2023,2442,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,شاليهات تلال السخنه - Z4,شاليهات تلال السخنه - Z4,المقاولات,6262525.89,4132
9/1/2023,2444,تسوية عملاء مقاولات الربع الثالث 2023 -تسوية مستخلصات ميزانيه 30-9-2023,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,اعمال ترابيه والحوائط السانده تلال السخنه - Z6,المقاولات,17602901.48,4119
9/1/2023,1377,مبيعات خرسانه العزيزيه للمقاولات,محطه خلط بروكس,محطه خلط بروكس,محطات خلط الخرسانه,88060,3004
9/1/2023,1378,مبيعات خرسانه العزيزيه للمقاولات,محطه خلط بروكس,محطه خلط بروكس,محطات خلط الخرسانه,126118.42,3004
